,sample_idx,src_text,reference_fr,base_pred,ft_pred,bleu_base,bleu_ft
0,0,The course of BP I and BP II was chronic; patients were symptomatic approximately half of all follow-up weeks (BP I 46.6% and BP II 55.8% of weeks).,L'évolution du BP I et du BP II était chronique; les patients étaient symptômatiques pendant à peu près la moitié des semaines du suivi(BP I 46.6% et BP II 55.8% des semaines)...,"Le traitement par BP I et BP II était chronique; les patients étaient symptomatiques environ de la moitié de toutes les semaines de suivi (BP I 46,6% et BP II 55,8% des semaines).","Le traitement par BP I et BP II était chronique; les patients étaient symptomatiques environ de la moitié de toutes les semaines de suivi (BP I 46,6% et BP II 55,8% des semaines).",40.93374287540686,40.93374287540686
1,1,Very few shrimp came in today.,Il y a peu de crevettes aujourd'hui.,Très peu de crevettes sont venues aujourd'hui.,Très peu de crevettes sont venues aujourd'hui.,25.848657697858535,25.848657697858535
2,2,Each party will have an opportunity to present their views.,Chaque partie a la possibilité de donner son opinion.,Chaque partie aura l'occasion de présenter son point de vue.,Chaque partie aura l'occasion de présenter son point de vue.,9.425159511373677,9.425159511373677
3,3,"You know your sister is no lily, right?",C'est pas une sainte.,"Tu sais que ta sœur n'est pas lys, non ?","Tu sais que ta soeur n'est pas lys, non ?",3.7477767366779213,3.7477767366779213
4,4,"Most members tend to originate from low socioeconomic areas of the city, or move to these areas from outside the jurisdiction.",La plupart des membres sont susceptibles de provenir des secteurs socioéconomiquement faibles de la ville ou de s'installer dans ces secteurs en arrivant d'une autre administration.,"La plupart des membres ont tendance à provenir de régions socio-économiques faibles de la ville, ou à déménager dans ces régions de l'extérieur de la juridiction.","La plupart des membres ont tendance à provenir de régions socio-économiques faibles de la ville, ou à déménager dans ces régions de l'extérieur de la juridiction.",20.333448190047886,20.333448190047886
5,5,It says it's a West African invocation to expel witch doctors who had risen from the dead.,Ça dit qu'il y a une invocation d'Afrique de l'Ouest pour chasser les sorciers qui sont revenus d'entre les morts,Il est dit que c'est une invocation ouest-africaine pour expulser les sorciers qui étaient ressuscités d'entre les morts.,Il est dit que c'est une invocation ouest-africaine d'expulser les sorciers qui étaient ressuscités d'entre les morts.,14.445618600723778,14.078779883814509
6,6,PCT/GL/ISPE/1 Page 174 Chapter 19 Examination Procedure Before The International Preliminary Examining Authority General 19.01 The present chapter sets out the procedure before the International Preliminary Examining Authority with respect to international preliminary examination from the time such examination starts.,PCT/GL/ISPE/1 Page 199 Chapitre 19 Procédure d'examen au sein de l'administration chargée de l'examen préliminaire international Généralités 19.01 Le présent chapitre expose la procédure à suivre au sein de l'administration chargée de l'examen préliminaire international pour l'examen en question à partir du moment où celui-ci débute.,PCT/GL/ISPE/1 Page 174 Chapitre 19 Procédure d'examen devant l'administration chargée de l'examen préliminaire international Généralités 19.01 Le présent chapitre établit la procédure devant l'administration chargée de l'examen préliminaire international en ce qui concerne l'examen préliminaire international dès le début de cet examen.,PCT/GL/ISPE/1 Page 174 Chapitre 19 Procédure d'examen devant l'administration chargée de l'examen préliminaire international Généralités 19.01 Le présent chapitre établit la procédure devant l'administration chargée de l'examen préliminaire international en ce qui concerne l'examen préliminaire international à partir du moment où cet examen commence.,46.334186198038495,52.5124336112126
7,7,"Another group of women reported that they chose Windsor as a place to settle, because of the advantages associated with living in a small city.","Un autre groupe déclare avoir choisi Windsor parce que c'est une agglomération plus petite, ce qui présente divers atouts.","Un autre groupe de femmes a déclaré avoir choisi Windsor comme lieu d'installation, en raison des avantages associés à la vie dans une petite ville.","Un autre groupe de femmes a indiqué qu'elles avaient choisi Windsor comme lieu d'installation, en raison des avantages associés à la vie dans une petite ville.",9.87172178670542,7.23976807888871
8,8,"DEFINITION AND SHARPNESS OF THE ""CUT-OFF"" LINE FOR",DÉFINITION ET MESURE DE LA NETTETÉ DE LA LIGNE DE COUPURE POUR LES PROJECTEURS ÉMETTANT UN FAISCEAU DE CROISEMENT SYMÉTRIQUE ET PROCÉDURE DE RÉGLAGE À L'AIDE DE LA LIGNE DE COUPURE,"DÉFINITION ET PARTAGE DE LA LIGNE ""CUT-OFF"" POUR",DÉFINITION ET PARTAGE DE LA LIGNE « CUT-OFF » POUR,2.517297713018372,2.517297713018372
9,9,"Within each category, sites are presented in declining order of performance.","À l'intérieur de chaque catégorie, les sites sont présentés en ordre décroissant de performance.","Dans chaque catégorie, les sites sont présentés selon un ordre décroissant de rendement.","Dans chaque catégorie, les sites sont présentés selon un ordre décroissant de rendement.",47.13945310979296,47.13945310979296
